	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.006	0.015625
GEN_INTER_FORC_TXTYTZ	0.015625	0.036	0.015625
Metafor	9.64062	11.776	7.64062
ValuesManager	0.078125	0.097	0.078125
buildK_TXTYTZ	0.046875	0.045	0.03125
contactDetection	0.015625	0.009	0
prepro	1.45312	4.241	1.98438
saveFacs	0	0.008	0.046875
solveK_TXTYTZ	0	0.003	0
steps	0.984375	0.96	0.6875
