	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.003	0
GEN_INTER_FORC_TXTYTZ	0.015625	0.019	0
Metafor	14.8906	15.192	13.2031
ObjectiveFunction	0	0	0
ValuesManager	0.109375	0.118	0.078125
buildK_TXTYTZ	0	0.022	0
contactDetection	0	0.004	0
prepro	1.54688	4.557	1.85938
saveFacs	0	0.004	0
solveK_TXTYTZ	0	0.002	0
steps	1.53125	1.244	1.21875
