	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.005	0
GEN_INTER_FORC_TXTYTZ	0	0.016	0.015625
Metafor	15.625	28.065	13.6875
ObjectiveFunction	0	0	0
ValuesManager	0.109375	0.306	0.09375
buildK_TXTYTZ	0.046875	0.017	0
contactDetection	0.015625	0.007	0
prepro	1.5	16.602	2.0625
saveFacs	0	0.006	0.015625
solveK_TXTYTZ	0	0	0
steps	1.76562	1.405	1.04688
