	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.003	0
GEN_INTER_FORC_TXTYTZ	0.015625	0.013	0.015625
Metafor	12.8125	13.032	12.5312
ObjectiveFunction	0	0	0
ValuesManager	0.1875	0.145	0.046875
buildK_TXTYTZ	0	0.009	0
contactDetection	0	0.001	0
prepro	1.67188	5.22	1.95312
saveFacs	0	0.003	0
solveK_TXTYTZ	0	0.003	0
steps	0.75	0.477	0.484375
