	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.003	0
GEN_INTER_FORC_TXTYTZ	0.015625	0.017	0
Metafor	13.9844	14.958	13.9531
ObjectiveFunction	0	0	0
ValuesManager	0.09375	0.177	0.109375
buildK_TXTYTZ	0	0.01	0
contactDetection	0	0.006	0
prepro	1.23438	4.476	2.34375
saveFacs	0	0.005	0
solveK_TXTYTZ	0	0.001	0
steps	1.45312	1.228	1.21875
