	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.002	0
GEN_INTER_FORC_TXTYTZ	0	0.017	0.015625
Metafor	8.4375	13.279	8.79688
ObjectiveFunction	0	0	0
ValuesManager	0.09375	0.09	0.03125
buildK_TXTYTZ	0	0.01	0
contactDetection	0	0.005	0
prepro	1.48438	6.76	2.35938
saveFacs	0	0.004	0.015625
solveK_TXTYTZ	0	0.001	0
steps	0.40625	0.464	0.46875
