	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.003	0
GEN_INTER_FORC_TXTYTZ	0.03125	0.013	0.03125
Metafor	12.7656	12.013	11.9062
ObjectiveFunction	0	0	0
ValuesManager	0.125	0.123	0.0625
buildK_TXTYTZ	0	0.007	0
contactDetection	0	0.001	0
prepro	1.1875	4.024	2.01562
saveFacs	0.015625	0.003	0
solveK_TXTYTZ	0	0.001	0
steps	0.765625	0.549	0.671875
