	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.004	0
GEN_INTER_FORC_TXTYTZ	0.015625	0.015	0
Metafor	15.3125	18.938	13.2188
ObjectiveFunction	0	0	0
ValuesManager	0.109375	0.127	0.109375
buildK_TXTYTZ	0.015625	0.013	0
contactDetection	0.015625	0.005	0
prepro	1.48438	7.99	2.03125
saveFacs	0.015625	0.004	0
solveK_TXTYTZ	0	0.002	0
steps	1.65625	1.56	0.984375
