	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0.015625	0.006	0
GEN_INTER_FORC_TXTYTZ	0.03125	0.009	0
Metafor	12.7344	13.08	12.6094
ObjectiveFunction	0	0	0
ValuesManager	0.09375	0.13	0.09375
buildK_TXTYTZ	0	0.013	0
contactDetection	0	0.004	0
prepro	1.51562	5.269	2.04688
saveFacs	0	0.004	0.015625
solveK_TXTYTZ	0	0	0
steps	0.65625	0.487	0.65625
