	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.006	0
GEN_INTER_FORC_TXTYTZ	0.015625	0.033	0
Metafor	17.5156	21.566	17.8125
ObjectiveFunction	0	0	0
ValuesManager	0.125	0.147	0.109375
buildK_TXTYTZ	0	0.014	0
contactDetection	0	0.005	0
prepro	1.375	6.891	2.14062
saveFacs	0	0.004	0
solveK_TXTYTZ	0	0.002	0
steps	2.07812	1.765	1.8125
