	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.003	0
GEN_INTER_FORC_TXTYTZ	0	0.012	0.015625
Metafor	12.7656	12.335	12.2656
ObjectiveFunction	0	0	0
ValuesManager	0.078125	0.13	0.109375
buildK_TXTYTZ	0	0.011	0
contactDetection	0	0.002	0
prepro	1.0625	4.109	1.9375
saveFacs	0	0.003	0
solveK_TXTYTZ	0	0.001	0
steps	0.890625	0.548	0.84375
