	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.003	0
GEN_INTER_FORC_TXTYTZ	0	0.018	0.015625
Metafor	14.4844	17.075	14.3281
ObjectiveFunction	0	0	0
ValuesManager	0.078125	0.151	0.09375
buildK_TXTYTZ	0	0.011	0.046875
contactDetection	0	0.005	0
prepro	1.40625	6.402	2.17188
saveFacs	0	0.004	0
solveK_TXTYTZ	0	0	0
steps	1.5	1.243	1.375
