	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.003	0
GEN_INTER_FORC_TXTYTZ	0	0.017	0.03125
Metafor	14.4844	26.179	13.5156
ObjectiveFunction	0	0	0
ValuesManager	0.09375	0.147	0.046875
buildK_TXTYTZ	0	0.019	0
contactDetection	0	0.004	0
prepro	1.70312	16.752	1.98438
saveFacs	0	0.003	0
solveK_TXTYTZ	0	0	0
steps	1.07812	0.523	0.90625
