	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.002	0
GEN_INTER_FORC_TXTYTZ	0	0.009	0
Metafor	12.9531	13.738	12.3906
ObjectiveFunction	0	0	0
ValuesManager	0.046875	0.136	0.078125
buildK_TXTYTZ	0	0.01	0
contactDetection	0	0.005	0.015625
prepro	1.67188	6.009	2
saveFacs	0	0.005	0
solveK_TXTYTZ	0	0	0
steps	0.9375	0.496	0.484375
