	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.006	0.015625
GEN_INTER_FORC_TXTYTZ	0.03125	0.012	0.015625
Metafor	12.2969	13.724	12.7969
ObjectiveFunction	0	0	0
ValuesManager	0.078125	0.133	0.078125
buildK_TXTYTZ	0	0.012	0
contactDetection	0.015625	0.005	0
prepro	1.90625	6.476	2.78125
saveFacs	0	0.003	0
solveK_TXTYTZ	0	0	0
steps	0.671875	0.472	0.625
