	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.002	0
GEN_INTER_FORC_TXTYTZ	0.046875	0.011	0.03125
Metafor	13.8438	15.319	13.8438
ObjectiveFunction	0	0	0
ValuesManager	0.109375	0.282	0.109375
buildK_TXTYTZ	0	0.018	0.015625
contactDetection	0	0.003	0
prepro	2.26562	7.296	3.28125
saveFacs	0	0.005	0
solveK_TXTYTZ	0.015625	0	0
steps	0.96875	0.482	0.9375
