	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.004	0
GEN_INTER_FORC_TXTYTZ	0.015625	0.014	0.015625
Metafor	16.0156	16.602	13.625
ObjectiveFunction	0	0	0
ValuesManager	0.078125	0.143	0.09375
buildK_TXTYTZ	0.015625	0.013	0
contactDetection	0.015625	0.005	0
prepro	1.65625	5.041	2.04688
saveFacs	0	0.004	0.046875
solveK_TXTYTZ	0	0.003	0
steps	1.84375	1.451	1.03125
