	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.003	0
GEN_INTER_FORC_TXTYTZ	0	0.014	0.015625
Metafor	12.7188	13.226	12.5781
ObjectiveFunction	0	0	0
ValuesManager	0.09375	0.191	0.09375
buildK_TXTYTZ	0	0.012	0
contactDetection	0.015625	0.005	0
prepro	1.54688	5.342	1.95312
saveFacs	0	0.004	0
solveK_TXTYTZ	0	0	0
steps	0.671875	0.477	0.84375
