	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.001	0
GEN_INTER_FORC_TXTYTZ	0	0.014	0
Metafor	13.125	12.407	11.5
ObjectiveFunction	0	0	0
ValuesManager	0.09375	0.109	0.015625
buildK_TXTYTZ	0	0.009	0
contactDetection	0.015625	0.005	0
prepro	1.375	4.238	1.64062
saveFacs	0	0.003	0
solveK_TXTYTZ	0	0	0
steps	0.703125	0.539	0.65625
