	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0.015625	0.004	0
GEN_INTER_FORC_TXTYTZ	0.046875	0.016	0
Metafor	13.5938	13.925	12.3906
ObjectiveFunction	0	0	0
ValuesManager	0.140625	0.339	0.078125
buildK_TXTYTZ	0	0.013	0
contactDetection	0	0.003	0
prepro	2.23438	6.184	2.65625
saveFacs	0	0.005	0.0625
solveK_TXTYTZ	0	0	0
steps	0.796875	0.487	0.625
