	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.005	0
GEN_INTER_FORC_TXTYTZ	0.015625	0.016	0
Metafor	16.4375	18.161	13.6719
ObjectiveFunction	0	0	0
ValuesManager	0.09375	0.181	0.125
buildK_TXTYTZ	0	0.018	0
contactDetection	0.015625	0.005	0
prepro	1.39062	4.392	2.10938
saveFacs	0	0.004	0.015625
solveK_TXTYTZ	0	0.001	0
steps	1.85938	1.448	1.42188
