	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.004	0
GEN_INTER_FORC_TXTYTZ	0	0.011	0.03125
Metafor	12.8125	13.062	12.6094
ObjectiveFunction	0	0	0
ValuesManager	0.03125	0.131	0.03125
buildK_TXTYTZ	0	0.009	0
contactDetection	0	0.002	0
prepro	1.375	5.29	2.39062
saveFacs	0.015625	0.005	0
solveK_TXTYTZ	0	0.001	0
steps	1.04688	0.481	0.828125
