	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.004	0
GEN_INTER_FORC_TXTYTZ	0	0.017	0.015625
Metafor	14.7344	15.895	14.0312
ObjectiveFunction	0	0	0
ValuesManager	0.109375	0.127	0.0625
buildK_TXTYTZ	0.046875	0.013	0.015625
contactDetection	0.015625	0.002	0
prepro	1.34375	4.688	2.14062
saveFacs	0	0.003	0
solveK_TXTYTZ	0	0	0
steps	1.35938	1.269	0.90625
