	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.006	0.015625
GEN_INTER_FORC_TXTYTZ	0	0.015	0
Metafor	13.2188	15.59	12.8438
ObjectiveFunction	0	0	0
ValuesManager	0.0625	0.131	0.125
buildK_TXTYTZ	0.015625	0.012	0
contactDetection	0	0.002	0
prepro	1.48438	7.034	2
saveFacs	0	0.003	0
solveK_TXTYTZ	0	0.001	0
steps	1.01562	0.676	1.09375
