	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.003	0
GEN_INTER_FORC_TXTYTZ	0.03125	0.011	0
Metafor	7.5625	11.792	7.34375
ValuesManager	0.078125	0.091	0.09375
buildK_TXTYTZ	0	0.022	0
contactDetection	0	0.003	0
prepro	1.42188	5.38	2.1875
saveFacs	0	0.006	0.015625
solveK_TXTYTZ	0	0.005	0
steps	0.328125	0.326	0.25
