	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.004	0
GEN_INTER_FORC_TXTYTZ	0	0.018	0
Metafor	15.3438	16.069	13.875
ObjectiveFunction	0	0	0
ValuesManager	0.15625	0.306	0.078125
buildK_TXTYTZ	0	0.021	0
contactDetection	0	0.001	0
prepro	1.79688	5.105	1.76562
saveFacs	0	0.004	0
solveK_TXTYTZ	0	0.002	0
steps	1.76562	1.477	1.40625
