	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.001	0
GEN_INTER_FORC_TXTYTZ	0	0.004	0
Metafor	4.51562	8.618	3.95312
ValuesManager	0.078125	0.087	0.09375
buildK_TXTYTZ	0.015625	0.012	0
contactDetection	0	0.004	0
prepro	1.76562	5.298	2.17188
saveFacs	0	0.007	0
solveK_TXTYTZ	0	0.001	0
steps	0.21875	0.157	0.0625
