	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.001	0
GEN_INTER_FORC_TXTYTZ	0	0.009	0.015625
Metafor	13.6562	12.294	11.6719
ObjectiveFunction	0	0	0
ValuesManager	0.03125	0.12	0.0625
buildK_TXTYTZ	0.015625	0.008	0
contactDetection	0	0.005	0
prepro	1.42188	4.369	1.9375
saveFacs	0	0.004	0
solveK_TXTYTZ	0	0	0
steps	1.23438	0.54	0.875
