	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.002	0
GEN_INTER_FORC_TXTYTZ	0	0.009	0
Metafor	7.40625	8.102	6.96875
ObjectiveFunction	0	0	0
ValuesManager	0.0625	0.087	0.09375
buildK_TXTYTZ	0.015625	0.011	0
contactDetection	0	0.002	0
prepro	1.23438	3.661	1.8125
saveFacs	0	0.004	0
solveK_TXTYTZ	0	0.001	0
steps	0.546875	0.338	0.28125
