	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0	0
GEN_INTER_FORC_TXTYTZ	0	0.006	0.015625
Metafor	4.89062	8.246	4.28125
ValuesManager	0.078125	0.085	0.03125
buildK_TXTYTZ	0.046875	0.014	0
contactDetection	0	0.001	0
prepro	1.53125	4.958	1.89062
saveFacs	0	0.006	0
solveK_TXTYTZ	0	0	0
steps	0.421875	0.441	0.21875
