	user	real	kernel
GEN_EXT_FORC_TXTYTZ	0	0.005	0
GEN_INTER_FORC_TXTYTZ	0.03125	0.01	0.015625
Metafor	13.3594	14.06	12.2969
ObjectiveFunction	0	0	0
ValuesManager	0.078125	0.266	0.140625
buildK_TXTYTZ	0	0.01	0.0625
contactDetection	0	0.003	0
prepro	1.6875	6.104	2.23438
saveFacs	0	0.003	0
solveK_TXTYTZ	0	0.001	0
steps	0.734375	0.499	0.625
